event_id,event_type,release_date,notes
CPI-2023-01,CPI,2023-01-12,Headline CPI release
CPI-2023-03,CPI,2023-03-14,
CPI-2023-06,CPI,2023-06-13,
CPI-2023-09,CPI,2023-09-13,
CPI-2023-12,CPI,2023-12-12,
CPI-2024-02,CPI,2024-02-13,
CPI-2024-05,CPI,2024-05-15,
CPI-2024-08,CPI,2024-08-14,
CPI-2024-11,CPI,2024-11-13,
CPI-2025-02,CPI,2025-02-14,
NFP-2023-01,NFP,2023-01-06,Jobs report
NFP-2023-03,NFP,2023-03-10,
NFP-2023-06,NFP,2023-06-02,
NFP-2023-09,NFP,2023-09-01,
NFP-2023-12,NFP,2023-12-08,
NFP-2024-02,NFP,2024-02-02,
NFP-2024-05,NFP,2024-05-03,
NFP-2024-08,NFP,2024-08-02,
NFP-2024-11,NFP,2024-11-01,
NFP-2025-02,NFP,2025-02-07,
FOMC-2023-02,FOMC,2023-02-01,Fed meeting
FOMC-2023-06,FOMC,2023-06-14,
FOMC-2023-09,FOMC,2023-09-20,
FOMC-2023-12,FOMC,2023-12-13,
FOMC-2024-03,FOMC,2024-03-20,
FOMC-2024-06,FOMC,2024-06-12,
FOMC-2024-09,FOMC,2024-09-18,
FOMC-2024-12,FOMC,2024-12-11,
FOMC-2025-03,FOMC,2025-03-19,
FOMC-2025-06,FOMC,2025-06-11,
